"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"4";"";"C-US025-024X044";"C025-024X044";"C1, C2, C3, C4";"CAPACITOR, American symbol";"";"";"";"";"";"";"17";"C";
"19";"220";"R-US_0204/7";"0204/7";"R0, R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, RSC_000, RSC_400, RSC_800";"RESISTOR, American symbol";"";"";"";"";"";"";"48";"R";
"1";"55959-1630";"55959-1630";"SHDR16W65P250X200_2X8_1940X140";"ALU";"Molex MICROCLASP Series, Series Number 55959, 2mm Pitch 16 Way 2 Row Right Angle PCB Header, Solder Termination, 3A";"Molex MICROCLASP Series, Series Number 55959, 2mm Pitch 16 Way 2 Row Right Angle PCB Header, Solder Termination, 3A";"11.7mm";"Molex";"55959-1630";"538-55959-1630";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-55959-1630";"";"";
"1";"55959-2430";"55959-2430";"559592430";"BUS";"Headers & Wire Housings 24 Ckt R.A. Header";"Headers & Wire Housings 24 Ckt R.A. Header";"11.95mm";"Molex";"55959-2430";"538-55959-2430";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-55959-2430";"";"";
"2";"CD4048BE";"CD4048BE";"DIP254P762X508-16";"ACC=0_0-7, ACC=0_8-15";"CMOS multifunction expandable 8-input gate";"CMOS multifunction expandable 8-input gate";"mm";"Texas Instruments";"CD4048BE";"595-CD4048BE";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-CD4048BE";"";"";
"16";"RED";"LED3MM";"LED3MM";"LED0, LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15";"LED";"";"";"";"";"";"";"97";"";
"2";"SN74BCT374N";"SN74BCT374N";"DIP254P762X508-20";"ACCUMULATOR_0-7, ACCUMULATOR_8-15";"OCTAL EDGE TRIGGERED  D TYPE LATCHES";"OCTAL EDGE TRIGGERED  D TYPE LATCHES";"mm";"Texas Instruments";"SN74BCT374N";"595-SN74BCT374N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74BCT374N";"";"";
"1";"SN74HC04N";"SN74HC04N";"DIP794W53P254L1930H508Q14N";"NOT_GATE";"Hex inverter,SN74HC04N DIP14 2.6V 25pcs";"Hex inverter,SN74HC04N DIP14 2.6V 25pcs";"5.08mm";"Texas Instruments";"SN74HC04N";"595-SN74HC04N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC04N";"";"";
"1";"SN74HC08N";"SN74HC08N";"DIP794W53P254L1930H508Q14N";"AND_GATE";"QUADRUPLE 2-INPUT POSITIVE-NOR GATES";"QUADRUPLE 2-INPUT POSITIVE-NOR GATES";"5.08mm";"Texas Instruments";"SN74HC08N";"595-SN74HC08N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC08N";"";"";
"1";"SN74HC11N";"SN74HC11N";"DIP794W53P254L1930H508Q14N";"TRIPLE_AND_GATE";"Triple 3-Input AND Gate SN74HC11N";"Triple 3-Input AND Gate SN74HC11N";"5.08mm";"Texas Instruments";"SN74HC11N";"595-SN74HC11N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC11N";"";"";
"1";"SN74HC32N";"SN74HC32N";"DIP794W53P254L1930H508Q14N";"OR_GATE";"QUADRUPLE 2-INPUT POSITIVE-OR GATES";"QUADRUPLE 2-INPUT POSITIVE-OR GATES";"5.08mm";"Texas Instruments";"SN74HC32N";"595-SN74HC32N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC32N";"";"";
"3";"SN74HC541N";"SN74HC541N";"DIP794W53P254L2540H508Q20N";"ACO_0-7, ACO_8-15, SKIPCOND";"Octal Buffers And Line Drivers With 3-State Outputs";"Octal Buffers And Line Drivers With 3-State Outputs";"5.08mm";"Texas Instruments";"SN74HC541N";"595-SN74HC541N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC541N";"";"";
"3";"YELLOW";"LED3MM";"LED3MM";"SC_000, SC_400, SC_800";"LED";"";"";"";"";"";"";"97";"";
