"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"4";"";"C-US025-024X044";"C025-024X044";"C1, C2, C3, C4";"CAPACITOR, American symbol";"";"";"";"";"";"";"17";"C";
"16";"220";"R-US_0204/7";"0204/7";"R0, R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"48";"R";
"1";"55959-1430";"55959-1430";"559591430";"MAR";"Molex MICROCLASP 55959, 2mm Pitch, 14 Way, 2 Row, Right Angle PCB Header, Through Hole";"Molex MICROCLASP 55959, 2mm Pitch, 14 Way, 2 Row, Right Angle PCB Header, Through Hole";"11.7mm";"Molex";"55959-1430";"538-55959-1430";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-55959-1430";"";"";
"1";"55959-1830";"55959-1830";"SHDR18W65P250X200_2X9_2140X140";"ARDUINO";"Molex MICROCLASP Series, Series Number 55959, 2mm Pitch 18 Way 2 Row Right Angle PCB Header, Solder Termination, 3A";"Molex MICROCLASP Series, Series Number 55959, 2mm Pitch 18 Way 2 Row Right Angle PCB Header, Solder Termination, 3A";"11.7mm";"Molex";"55959-1830";"538-55959-1830";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-55959-1830";"";"";
"1";"55959-2430";"55959-2430";"559592430";"BUS";"Headers & Wire Housings 24 Ckt R.A. Header";"Headers & Wire Housings 24 Ckt R.A. Header";"11.95mm";"Molex";"55959-2430";"538-55959-2430";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-55959-2430";"";"";
"2";"ADE08A04";"ADE08A04";"DIP810W60P254L2225H590Q16N";"DIP_0-7, DIP_8-15";"8 Way Through Hole DIP Switch SPST, Extended Slide Actuator";"8 Way Through Hole DIP Switch SPST, Extended Slide Actuator";"5.9mm";"TE Connectivity";"ADE08A04";"506-ADE08A04";"https://www.mouser.com/Search/Refine.aspx?Keyword=506-ADE08A04";"";"";
"2";"AS6C6264-55PIN";"AS6C6264-55PIN";"DIP1524W51P254L3632H394Q28N";"MEMORY_0-7, MEMORY_8-15";"SRAM 64K, 2.7-5.5V, 55ns 8K x 8 CMOS SRAM";"SRAM 64K, 2.7-5.5V, 55ns 8K x 8 CMOS SRAM";"3.937mm";"Alliance Memory";"AS6C6264-55PIN";"913-AS6C6264-55PIN";"https://www.mouser.com/Search/Refine.aspx?Keyword=913-AS6C6264-55PIN";"";"";
"1";"MHPS2273N";"MHPS2273N";"MHPS2273N";"S1";"Pushbutton Switches Momentary key DP";"Pushbutton Switches Momentary key DP";"13.5mm";"Apem";"MHPS2273N";"642-MHPS2273N";"https://www.mouser.com/Search/Refine.aspx?Keyword=642-MHPS2273N";"";"";
"16";"RED";"LED3MM";"LED3MM";"LED0, LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15";"LED";"";"";"";"";"";"";"97";"";
"1";"SN74HC08N";"SN74HC08N";"DIP794W53P254L1930H508Q14N";"AND_GATE";"QUADRUPLE 2-INPUT POSITIVE-NOR GATES";"QUADRUPLE 2-INPUT POSITIVE-NOR GATES";"5.08mm";"Texas Instruments";"SN74HC08N";"595-SN74HC08N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC08N";"";"";
"10";"SN74HC157N";"SN74HC157N";"DIP794W53P254L1930H508Q16N";"ARD/BRD_0-3, ARD/BRD_4-7, ARD/BRD_8-11, ARD/BRD_12-15, ARDUINO_WRITE, BOARD_WRITE, BUS/DIP_0-3, BUS/DIP_4-7, BUS/DIP_8-11, BUS/DIP_12-15";"Quadruple 2-Line To 1-Line Data Selectors/Multiplexers";"Quadruple 2-Line To 1-Line Data Selectors/Multiplexers";"5.08mm";"Texas Instruments";"SN74HC157N";"595-SN74HC157N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC157N";"";"";
"2";"SN74HC541N";"SN74HC541N";"DIP794W53P254L2540H508Q20N";"RAM_OUT_0-7, RAM_OUT_8-15";"Octal Buffers And Line Drivers With 3-State Outputs";"Octal Buffers And Line Drivers With 3-State Outputs";"5.08mm";"Texas Instruments";"SN74HC541N";"595-SN74HC541N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC541N";"";"";
